event_date,user_pseudo_id,item_name,session_id,session_engaged,engagement_time_seconds
20221125,403541588.1669363491,,1669363490,0,0.043
20221125,1402574678.1669404833,,1669404832,0,
20221125,1839252296.1669413694,,1669413693,0,
20221125,1033771763.1669419149,,1669419149,0,
20221125,1158449724.1669429349,,1669429349,1,
20221125,429224345.1669408866,,1669408865,0,
20221125,790733560.1669441445,,1669441444,0,
20221125,959974262.1669441954,,1669441953,0,
20221125,214823022.1669388917,,1669388917,1,95.317
20221125,424313869.1669310422,,1669365925,0,
20221125,593915080.1668680045,,1669403653,1,51.832
20221125,872123672.1662915915,,1669399479,1,4.609
20221125,295332092.1669429391,,1669429390,0,
20221125,220758262.1669412398,,1669412398,0,
20221125,728638352.1669409791,,1669409791,1,9.309
20221125,1775335655.1669409892,,1669409891,0,
20221125,1698987252.1669410371,,1669410370,1,12.13
20221125,1188745697.1669421376,,1669421376,1,35.337
20221125,2009577678.1669445783,,1669445783,1,56.348
20221125,1823589551.1668825835,,1669395151,1,23.134
20221125,798657065.1669429586,,1669429585,1,3.957
20221125,1279814342.1669430131,,1669430131,0,0.009
20221125,798657065.1669429586,,1669432963,0,
20221125,1279814342.1669430131,,1669437121,0,
20221125,798657065.1669429586,,1669437120,1,89.059
20221125,577321319.1669390657,,1669390656,0,7.72
20221125,1365758716.1669393116,,1669393116,0,
20221125,758797953.1669363464,,1669363463,0,
20221125,128635495.1669406723,,1669406723,0,
20221125,1445655237.1669380054,,1669380054,0,
20221125,748040416.1669365772,,1669365771,0,
20221125,1450287675.1669401090,,1669401090,0,
20221125,1723099692.1669397933,,1669397933,0,
20221125,1256573390.1669412215,,1669412214,1,72.101
20221125,1417743498.1669410479,,1669410478,0,0.036
20221125,426918562.1669420235,,1669420235,0,
20221125,2051243446.1669413252,,1669413251,1,
20221125,2093179394.1669433775,,1669433774,1,69.237
20221125,1400652512.1669434864,,1669434863,1,27.428
20221125,442386719.1669434938,,1669434937,1,9.927
20221125,505444475.1669437682,,1669437681,1,26.722
20221125,1853626135.1669443429,,1669443430,0,
